Well,GFP,Strain,Plant,Leaf,Date,Machine,Unique_plant_ID,Puncher,Date,GFP
A11,88236,WT,2,Top,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,88236
A12,581379,WT,2,Top,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,581379
B1,213395,WT,2,Bottom,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,213395
B2,331123,WT,2,Bottom,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,331123
B3,445593,WT,2,Bottom,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,445593
B4,106610,WT,2,Bottom,2022_08_08,SB3,Plant_2_2022_08_08,Mitch,2022_08_08,106610
B5,416380,WT,3,Top,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,416380
B6,387344,WT,3,Top,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,387344
B7,498554,WT,3,Top,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,498554
B8,281822,WT,3,Top,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,281822
B9,265281,WT,3,Bottom,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,265281
B10,346763,WT,3,Bottom,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,346763
B11,395493,WT,3,Bottom,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,395493
B12,508631,WT,3,Bottom,2022_08_08,SB3,Plant_3_2022_08_08,Mitch,2022_08_08,508631
C1,414963,WT,4,Top,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,414963
C2,539342,WT,4,Top,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,539342
C3,563657,WT,4,Top,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,563657
C4,528137,WT,4,Top,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,528137
C5,340181,WT,4,Bottom,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,340181
C6,294997,WT,4,Bottom,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,294997
C7,121332,WT,4,Bottom,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,121332
C8,281007,WT,4,Bottom,2022_08_08,SB3,Plant_4_2022_08_08,Mitch,2022_08_08,281007
C9,80538,WT,5,Top,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,80538
C10,254319,WT,5,Top,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,254319
