,xs,EHA105,GV3101,best
956,191.6066066066066,2.463431790715463,1.9853848790354853,1.7340319341293111
957,191.8018018018018,2.4627959253958,1.9850250748942901,1.7337626368634909
958,191.99699699699698,2.462161516621125,1.9846660673555563,1.7334939288585904
959,192.19219219219218,2.461528559413494,1.9843078537825583,1.7332258081858603
960,192.38738738738738,2.460897048817533,1.9839504315501708,1.7329582729249455
961,192.58258258258257,2.460266979900315,1.9835937980448053,1.7326913211638417
962,192.77777777777777,2.4596383477512305,1.9832379506643452,1.7324249509988476
963,192.97297297297297,2.459011147481865,1.982882886818086,1.7321591605345235
964,193.16816816816817,2.45838537422587,1.9825286039266712,1.7318939478836426
965,193.36336336336336,2.4577610231388425,1.9821750994220289,1.7316293111671488
966,193.55855855855856,2.4571380893982004,1.9818223707473133,1.7313652485141136
967,193.75375375375373,2.456516568203061,1.9814704153568417,1.731101758061689
968,193.94894894894892,2.4558964547741176,1.981119230716034,1.7308388379550679
969,194.14414414414412,2.455277744353521,1.9807688143013522,1.730576486347437
970,194.33933933933932,2.4546604322047596,1.9804191636002417,1.7303147013999376
971,194.53453453453452,2.454044513612538,1.98007027611107,1.7300534812816195
972,194.7297297297297,2.453429983882661,1.9797221493430683,1.729792824169401
973,194.9249249249249,2.4528168383419144,1.9793747808162727,1.7295327282480248
974,195.1201201201201,2.452205072337952,1.9790281680614659,1.7292731917100188
975,195.3153153153153,2.4515946812391736,1.9786823086201195,1.7290142127556514
976,195.5105105105105,2.4509856604346143,1.9783372000443347,1.7287557895928916
977,195.7057057057057,2.4503780053338304,1.9779928398967868,1.7284979204373687
978,195.9009009009009,2.4497717113667816,1.9776492257506684,1.7282406035123308
979,196.0960960960961,2.4491667739837237,1.9773063551896306,1.7279838370486027
980,196.2912912912913,2.448563188655091,1.9769642258077296,1.7277276192845485
981,196.48648648648648,2.4479609508713893,1.9766228352093687,1.72747194846603
982,196.68168168168168,2.447360056143082,1.9762821810092437,1.7272168228463654
983,196.87687687687685,2.446760500000483,1.9759422608322887,1.726962240686293
984,197.07207207207205,2.4461622779936447,1.9756030723136198,1.7267082002539296
985,197.26726726726724,2.4455653856922517,1.9752646130984808,1.7264546998247319
986,197.46246246246244,2.4449698186855113,1.9749268808421907,1.7262017376814591
987,197.65765765765764,2.4443755725820493,1.974589873210088,1.7259493121141314
988,197.85285285285283,2.443782643009798,1.9742535878774785,1.7256974214199943
989,198.04804804804803,2.4431910256158984,1.9739180225295827,1.7254460639034803
990,198.24324324324323,2.4426007160665875,1.9735831748614812,1.7251952378761697
991,198.43843843843842,2.442011710047099,1.9732490425780644,1.7249449416567544
992,198.63363363363362,2.441424003261558,1.9729156233939795,1.724695173570999
993,198.82882882882882,2.4408375914328784,1.9725829150335787,1.7244459319517058
994,199.02402402402402,2.4402524703026605,1.9722509152308685,1.7241972151386757
995,199.2192192192192,2.439668635631087,1.9719196217294572,1.7239490214786741
996,199.4144144144144,2.439086083196828,1.9715890322825065,1.7237013493253912
